name,acousticness,analysis_url,artist,danceability,duration_ms,energy,genre_1,genre_10,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7,genre_8,genre_9,id,instrumentalness,key,liveness,loudness,mode,n_genres,popularity,speechiness,tempo,time_signature,track_href,type,uri,valence
Counting Stars,0.0654,https://api.spotify.com/v1/audio-analysis/2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,0.664,257267,0.705,dance pop,,neo mellow,piano rock,pop,pop rap,pop rock,post-teen pop,,,2tpWsVSb9UEmDRxAl1zhX1,0.0,1,0.118,-4.972,0,7,78,0.0382,122.016,4,https://api.spotify.com/v1/tracks/2tpWsVSb9UEmDRxAl1zhX1,audio_features,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,0.477
Labios Rotos - Live,0.0731,https://api.spotify.com/v1/audio-analysis/1nULBrlzWatdcjA2ZctIMv,Zoé,0.579,243040,0.758,latin alternative,,latin rock,mexican rock,rock en espanol,,,,,,1nULBrlzWatdcjA2ZctIMv,0.00292,11,0.708,-7.08,1,4,68,0.0281,109.054,4,https://api.spotify.com/v1/tracks/1nULBrlzWatdcjA2ZctIMv,audio_features,spotify:track:1nULBrlzWatdcjA2ZctIMv,0.288
Where You Stand,0.349,https://api.spotify.com/v1/audio-analysis/5cvaX59QXdBDwYi5pMuvSf,Travis,0.604,219602,0.709,britpop,,indie rock,neo mellow,pop rock,rock,,,,,5cvaX59QXdBDwYi5pMuvSf,0.0,5,0.0996,-7.376,1,5,39,0.0257,114.97,3,https://api.spotify.com/v1/tracks/5cvaX59QXdBDwYi5pMuvSf,audio_features,spotify:track:5cvaX59QXdBDwYi5pMuvSf,0.539
Stop For A Minute,0.0557,https://api.spotify.com/v1/audio-analysis/55YqwT8BH8alblsZ10zVIO,Keane,0.606,246800,0.784,neo mellow,,piano rock,pop rock,rock,,,,,,55YqwT8BH8alblsZ10zVIO,0.0,9,0.177,-7.06,0,4,46,0.0381,85.983,4,https://api.spotify.com/v1/tracks/55YqwT8BH8alblsZ10zVIO,audio_features,spotify:track:55YqwT8BH8alblsZ10zVIO,0.727
Hielo,0.282,https://api.spotify.com/v1/audio-analysis/2YiqBesMJpszYU6raDOG0R,Zoé,0.551,302840,0.73,latin alternative,,latin rock,mexican rock,rock en espanol,,,,,,2YiqBesMJpszYU6raDOG0R,0.923,7,0.148,-7.69,0,4,63,0.0274,126.967,4,https://api.spotify.com/v1/tracks/2YiqBesMJpszYU6raDOG0R,audio_features,spotify:track:2YiqBesMJpszYU6raDOG0R,0.672
Who Am I,0.561,https://api.spotify.com/v1/audio-analysis/55pbyBpxfZXq3vijkpu086,Vance Joy,0.622,159600,0.694,indie folk,,modern rock,neo mellow,pop,,,,,,55pbyBpxfZXq3vijkpu086,0.000379,9,0.123,-6.636,0,4,51,0.0596,127.786,4,https://api.spotify.com/v1/tracks/55pbyBpxfZXq3vijkpu086,audio_features,spotify:track:55pbyBpxfZXq3vijkpu086,0.605
Lend Me Some Light,0.257,https://api.spotify.com/v1/audio-analysis/5a1M9VqvbQKas0cOwN60xf,Empire of the Sun,0.614,209973,0.734,alternative dance,pop,australian dance,australian electropop,dance-punk,indie pop,indietronica,modern rock,neo-synthpop,new rave,5a1M9VqvbQKas0cOwN60xf,0.654,0,0.354,-6.088,1,10,33,0.0307,103.011,4,https://api.spotify.com/v1/tracks/5a1M9VqvbQKas0cOwN60xf,audio_features,spotify:track:5a1M9VqvbQKas0cOwN60xf,0.386
Red Eye,0.0418,https://api.spotify.com/v1/audio-analysis/2yGxX67YzZWlNni7kSthlm,Vance Joy,0.535,303827,0.542,indie folk,,modern rock,neo mellow,pop,,,,,,2yGxX67YzZWlNni7kSthlm,0.0,9,0.158,-7.436,1,4,53,0.0288,115.554,4,https://api.spotify.com/v1/tracks/2yGxX67YzZWlNni7kSthlm,audio_features,spotify:track:2yGxX67YzZWlNni7kSthlm,0.129
The Driver,0.0458,https://api.spotify.com/v1/audio-analysis/67EpDEz292HJ8N8Ksh3iOo,Bastille,0.497,261107,0.599,metropopolis,,modern rock,pop,,,,,,,67EpDEz292HJ8N8Ksh3iOo,0.00163,9,0.259,-5.243,0,3,49,0.0264,85.938,4,https://api.spotify.com/v1/tracks/67EpDEz292HJ8N8Ksh3iOo,audio_features,spotify:track:67EpDEz292HJ8N8Ksh3iOo,0.19
Looking Back,0.00129,https://api.spotify.com/v1/audio-analysis/0G7XfFgk1HRuoYyV38mduH,Keane,0.547,226480,0.848,neo mellow,,piano rock,pop rock,rock,,,,,,0G7XfFgk1HRuoYyV38mduH,9.04e-06,11,0.276,-7.766,0,4,40,0.0659,191.993,4,https://api.spotify.com/v1/tracks/0G7XfFgk1HRuoYyV38mduH,audio_features,spotify:track:0G7XfFgk1HRuoYyV38mduH,0.783
Infinito - Live,0.101,https://api.spotify.com/v1/audio-analysis/3K5qO0v4oUzluFiDHFF5WT,Zoé,0.608,266733,0.497,latin alternative,,latin rock,mexican rock,rock en espanol,,,,,,3K5qO0v4oUzluFiDHFF5WT,0.0013,7,0.695,-6.792,1,4,52,0.0259,107.036,4,https://api.spotify.com/v1/tracks/3K5qO0v4oUzluFiDHFF5WT,audio_features,spotify:track:3K5qO0v4oUzluFiDHFF5WT,0.0537
Bend & Break,0.000738,https://api.spotify.com/v1/audio-analysis/4mPiTSD96K4Dha1irhqpW3,Keane,0.467,220133,0.839,neo mellow,,piano rock,pop rock,rock,,,,,,4mPiTSD96K4Dha1irhqpW3,1.99e-05,4,0.121,-3.584,1,4,58,0.0295,137.902,4,https://api.spotify.com/v1/tracks/4mPiTSD96K4Dha1irhqpW3,audio_features,spotify:track:4mPiTSD96K4Dha1irhqpW3,0.518
Torn Apart (Bastille Vs. GRADES),0.0366,https://api.spotify.com/v1/audio-analysis/6aG4HwledcA0bMC43LTXjS,Bastille,0.556,185155,0.79,metropopolis,,modern rock,pop,,,,,,,6aG4HwledcA0bMC43LTXjS,0.000266,7,0.228,-6.333,0,3,50,0.047,127.011,4,https://api.spotify.com/v1/tracks/6aG4HwledcA0bMC43LTXjS,audio_features,spotify:track:6aG4HwledcA0bMC43LTXjS,0.18
